Winner,Loser,Round,year
Columbus Crew,Nashville SC,Conference Semifinals,2020
Seattle Sounders FC,FC Dallas,Conference Semifinals,2020
Minnesota Utd,Sporting KC,Conference Semifinals,2020
Columbus Crew,NE Revolution,Conference Finals,2020
Seattle Sounders FC,Minnesota Utd,Conference Finals,2020
Columbus Crew,Seattle Sounders FC,MLS Cup 2020,2020
Philadelphia Union,NY Red Bulls,First Round,2021
Sporting KC,Vancouver W'caps,First Round,2021
Portland Timbers,Minnesota Utd,First Round,2021
NYCFC,Atlanta Utd,First Round,2021
Nashville SC,Orlando City,First Round,2021
Real Salt Lake,Seattle Sounders FC,First Round,2021
Portland Timbers,Colorado Rapids,Conference Semifinals,2021
Real Salt Lake,Sporting KC,Conference Semifinals,2021
Philadelphia Union,Nashville SC,Conference Semifinals,2021
NYCFC,NE Revolution,Conference Semifinals,2021
Portland Timbers,Real Salt Lake,Conference Finals,2021
NYCFC,Philadelphia Union,Conference Finals,2021
NYCFC,Portland Timbers,MLS Cup,2021
FC Cincinnati,NY Red Bulls,First Round,2022
LA Galaxy,Nashville SC,First Round,2022
Austin,Real Salt Lake,First Round,2022
CF Montréal,Orlando City,First Round,2022
NYCFC,Inter Miami,First Round,2022
FC Dallas,Minnesota Utd,First Round,2022
LAFC,LA Galaxy,Conference Semifinals,2022
Philadelphia Union,FC Cincinnati,Conference Semifinals,2022
NYCFC,CF Montréal,Conference Semifinals,2022
Austin,FC Dallas,Conference Semifinals,2022
LAFC,Austin,Conference Finals,2022
Philadelphia Union,NYCFC,Conference Finals,2022
LAFC,Philadelphia Union,MLS Cup,2022
NY Red Bulls,Charlotte,Wild Card Round,2023
Sporting KC,SJ Earthquakes,Wild Card Round,2023
Columbus Crew,Orlando City,Conference Semifinals,2023
FC Cincinnati,Philadelphia Union,Conference Semifinals,2023
Houston Dynamo,Sporting KC,Conference Semifinals,2023
LAFC,Seattle Sounders FC,Conference Semifinals,2023
Columbus Crew,FC Cincinnati,Conference Finals,2023
LAFC,Houston Dynamo,Conference Finals,2023
Columbus Crew,LAFC,MLS Cup,2023
FC Cincinnati,NY Red Bulls,Round One,2023
Orlando City,Nashville SC,Round One,2023
Columbus Crew,Atlanta Utd,Round One,2023
Philadelphia Union,NE Revolution,Round One,2023
Sporting KC,St. Louis,Round One,2023
Seattle Sounders FC,FC Dallas,Round One,2023
LAFC,Vancouver W'caps,Round One,2023
Houston Dynamo,Real Salt Lake,Round One,2023
