Team,GP,W,L,T,PTS,PTS%,GF,GA,SRS,SOS,year,OL,RPt%,ROW,RgRec,RgPt%,RW
Tampa Bay Lightning,56,36,17,,75,.670,181,147,0.53,-0.08,2021,3,.652,,29-17-10,.607,29
Nashville Predators,56,31,23,,64,.571,156,154,0.03,0.00,2021,2,.509,,21-23-12,.482,21
Dallas Stars,56,23,19,,60,.536,158,154,0.06,-0.01,2021,14,.446,,17-19-20,.482,17
Chicago Blackhawks,56,24,25,,55,.491,161,186,-0.39,0.06,2021,7,.429,,15-25-16,.411,15
Detroit Red Wings,56,19,27,,48,.429,127,171,-0.69,0.10,2021,10,.348,,16-27-13,.402,16
Columbus Blue Jackets,56,18,26,,48,.429,137,187,-0.78,0.11,2021,12,.321,,12-26-18,.375,12
Pittsburgh Penguins,56,37,16,,77,.688,196,156,0.62,-0.09,2021,3,.643,,29-16-11,.616,29
Washington Capitals,56,36,15,,77,.688,191,163,0.44,-0.06,2021,5,.634,,29-15-12,.625,29
Boston Bruins,56,33,16,,73,.652,168,136,0.50,-0.07,2021,7,.571,,25-16-15,.580,25
New York Islanders,56,32,17,,71,.634,156,128,0.44,-0.06,2021,7,.563,,24-17-15,.562,24
New York Rangers,56,27,23,,60,.536,177,157,0.31,-0.05,2021,6,.491,,24-23-9,.509,24
Philadelphia Flyers,56,25,23,,58,.518,163,201,-0.59,0.08,2021,8,.455,,17-23-16,.446,17
New Jersey Devils,56,19,30,,45,.402,145,194,-0.77,0.11,2021,7,.384,,15-30-11,.366,15
Buffalo Sabres,56,15,34,,37,.330,138,199,-0.95,0.14,2021,7,.259,,11-34-11,.295,11
Toronto Maple Leafs,56,35,14,,77,.688,187,148,0.60,-0.10,2021,7,.616,,29-14-13,.634,29
Edmonton Oilers,56,35,19,,72,.643,183,154,0.44,-0.08,2021,2,.625,,31-19-6,.607,31
Winnipeg Jets,56,30,23,,63,.563,170,154,0.25,-0.04,2021,3,.554,,24-23-9,.509,24
Montreal Canadiens,56,24,21,,59,.527,159,168,-0.14,0.02,2021,11,.446,,20-21-15,.491,20
Calgary Flames,56,26,27,,55,.491,156,161,-0.08,0.01,2021,3,.464,,22-27-7,.455,22
Ottawa Senators,56,23,28,,51,.455,157,190,-0.51,0.08,2021,5,.402,,18-28-10,.411,18
Vancouver Canucks,56,23,29,,50,.446,151,188,-0.56,0.10,2021,4,.393,,17-29-10,.393,17
Colorado Avalanche,56,39,13,,82,.732,197,133,1.00,-0.14,2021,4,.705,,35-13-8,.696,35
Vegas Golden Knights,56,40,14,,82,.732,191,124,1.05,-0.15,2021,2,.723,,30-14-12,.643,30
Minnesota Wild,56,35,16,,75,.670,181,160,0.33,-0.05,2021,5,.625,,27-16-13,.598,27
St. Louis Blues,56,27,20,,63,.563,169,170,-0.02,0.00,2021,9,.491,,19-20-17,.491,19
Arizona Coyotes,56,24,26,,54,.482,153,176,-0.36,0.05,2021,6,.420,,19-26-11,.438,19
Los Angeles Kings,56,21,28,,49,.438,143,170,-0.42,0.06,2021,7,.375,,19-28-9,.420,19
San Jose Sharks,56,21,28,,49,.438,151,199,-0.75,0.11,2021,7,.357,,15-28-13,.384,15
Anaheim Ducks,56,17,30,,43,.384,126,179,-0.83,0.12,2021,9,.304,,11-30-15,.330,11
Florida Panthers,82,58,18,,122,.744,340,246,1.07,-0.08,2022,6,.713,,42-18-22,.646,42
Toronto Maple Leafs,82,54,21,,115,.701,315,253,0.69,-0.06,2022,7,.646,,45-21-16,.646,45
Tampa Bay Lightning,82,51,23,,110,.671,287,233,0.64,-0.02,2022,8,.640,,39-23-20,.598,39
Boston Bruins,82,51,26,,107,.652,255,220,0.38,-0.05,2022,5,.622,,40-26-16,.585,40
Buffalo Sabres,82,32,39,,75,.457,232,290,-0.69,0.02,2022,11,.390,,25-39-18,.415,25
Detroit Red Wings,82,32,40,,74,.451,230,312,-0.95,0.06,2022,10,.384,,21-40-21,.384,21
Ottawa Senators,82,33,42,,73,.445,227,266,-0.44,0.03,2022,7,.396,,26-42-14,.402,26
Montreal Canadiens,82,22,49,,55,.335,221,319,-1.15,0.05,2022,11,.262,,16-49-17,.299,16
Carolina Hurricanes,82,54,20,,116,.707,278,202,0.88,-0.05,2022,8,.665,,47-20-15,.665,47
New York Rangers,82,52,24,,110,.671,254,207,0.54,-0.03,2022,6,.628,,44-24-14,.622,44
Pittsburgh Penguins,82,46,25,,103,.628,272,229,0.49,-0.04,2022,11,.585,,37-25-20,.573,37
Washington Capitals,82,44,26,,100,.610,275,245,0.35,-0.02,2022,12,.524,,35-26-21,.555,35
New York Islanders,82,37,35,,84,.512,231,237,-0.09,-0.02,2022,10,.476,,34-35-13,.494,34
Columbus Blue Jackets,82,37,38,,81,.494,262,300,-0.44,0.02,2022,7,.445,,26-38-18,.427,26
New Jersey Devils,82,27,46,,63,.384,248,307,-0.68,0.04,2022,9,.341,,19-46-17,.335,19
Philadelphia Flyers,82,25,46,,61,.372,211,298,-1.00,0.06,2022,11,.323,,20-46-16,.341,20
Colorado Avalanche,82,56,19,,119,.726,312,234,0.91,-0.04,2022,7,.671,,46-19-17,.665,46
Minnesota Wild,82,53,22,,113,.689,310,253,0.68,-0.02,2022,7,.640,,37-22-23,.591,37
St. Louis Blues,82,49,22,,109,.665,311,242,0.79,-0.05,2022,11,.604,,43-22-17,.628,43
Dallas Stars,82,46,30,,98,.598,238,246,-0.09,0.01,2022,6,.543,,31-30-21,.506,31
Nashville Predators,82,45,30,,97,.591,266,252,0.19,0.02,2022,7,.537,,35-30-17,.530,35
Winnipeg Jets,82,39,32,,89,.543,252,257,-0.04,0.02,2022,11,.488,,32-32-18,.500,32
Chicago Blackhawks,82,28,42,,68,.415,219,291,-0.83,0.05,2022,12,.317,,16-42-24,.341,16
Arizona Coyotes,82,25,50,,57,.348,207,313,-1.23,0.06,2022,7,.323,,18-50-14,.305,18
Calgary Flames,82,50,21,,111,.677,293,208,0.99,-0.05,2022,11,.610,,44-21-17,.640,44
Edmonton Oilers,82,49,27,,104,.634,290,252,0.46,0.00,2022,6,.573,,38-27-17,.567,38
Los Angeles Kings,82,44,27,,99,.604,239,236,0.03,-0.01,2022,11,.537,,35-27-20,.549,35
Vegas Golden Knights,82,43,31,,94,.573,266,248,0.21,-0.01,2022,8,.524,,34-31-17,.518,34
Vancouver Canucks,82,40,30,,92,.561,249,236,0.16,0.00,2022,12,.500,,32-30-20,.512,32
San Jose Sharks,82,32,37,,77,.470,214,264,-0.58,0.03,2022,13,.390,,22-37-23,.409,22
Anaheim Ducks,82,31,37,,76,.463,232,271,-0.45,0.03,2022,14,.384,,22-37-23,.409,22
Seattle Kraken,82,27,49,,60,.366,216,285,-0.80,0.04,2022,6,.317,,23-49-10,.341,23
Boston Bruins,82,65,12,,135,.823,305,177,1.54,-0.02,2023,5,.787,,54-12-16,.756,54
Toronto Maple Leafs,82,50,21,,111,.677,279,222,0.70,0.00,2023,11,.616,,42-21-19,.628,42
Tampa Bay Lightning,82,46,30,,98,.598,283,254,0.37,0.02,2023,6,.555,,38-30-14,.549,38
Florida Panthers,82,42,32,,92,.561,290,273,0.24,0.04,2023,8,.506,,36-32-14,.524,36
Buffalo Sabres,82,42,33,,91,.555,296,300,-0.01,0.04,2023,7,.512,,30-33-19,.482,30
Ottawa Senators,82,39,35,,86,.524,261,271,-0.09,0.04,2023,8,.470,,31-35-16,.476,31
Detroit Red Wings,82,35,37,,80,.488,240,279,-0.44,0.04,2023,10,.433,,28-37-17,.445,28
Montreal Canadiens,82,31,45,,68,.415,232,307,-0.85,0.06,2023,6,.360,,21-45-16,.354,21
Carolina Hurricanes,82,52,21,,113,.689,266,213,0.66,0.01,2023,9,.628,,39-21-22,.610,39
New Jersey Devils,82,52,22,,112,.683,291,226,0.79,0.00,2023,8,.646,,39-22-21,.604,39
New York Rangers,82,47,22,,107,.652,277,219,0.70,0.00,2023,13,.567,,37-22-23,.591,37
New York Islanders,82,42,31,,93,.567,243,222,0.25,0.00,2023,9,.537,,36-31-15,.530,36
Pittsburgh Penguins,82,40,31,,91,.555,262,264,0.01,0.04,2023,11,.488,,31-31-20,.500,31
Washington Capitals,82,35,37,,80,.488,255,265,-0.10,0.02,2023,10,.439,,27-37-18,.439,27
Philadelphia Flyers,82,31,38,,75,.457,222,277,-0.62,0.05,2023,13,.372,,26-38-18,.427,26
Columbus Blue Jackets,82,25,48,,59,.360,214,330,-1.34,0.07,2023,9,.305,,15-48-19,.299,15
Colorado Avalanche,82,51,24,,109,.665,280,226,0.61,-0.05,2023,7,.604,,36-24-22,.573,36
Dallas Stars,82,47,21,,108,.659,285,218,0.75,-0.07,2023,14,.567,,39-21-22,.610,39
Minnesota Wild,82,46,25,,103,.628,246,225,0.21,-0.05,2023,11,.555,,34-25-23,.555,34
Winnipeg Jets,82,46,33,,95,.579,247,225,0.23,-0.04,2023,3,.561,,36-33-13,.518,36
Nashville Predators,82,42,32,,92,.561,229,238,-0.12,-0.02,2023,8,.488,,29-32-21,.482,29
St. Louis Blues,82,37,38,,81,.494,263,301,-0.47,-0.01,2023,7,.451,,27-38-17,.433,27
Arizona Coyotes,82,28,40,,70,.427,228,299,-0.85,0.01,2023,14,.348,,20-40-22,.378,20
Chicago Blackhawks,82,26,49,,59,.360,204,301,-1.16,0.02,2023,7,.317,,18-49-15,.311,18
Vegas Golden Knights,82,51,22,,111,.677,272,229,0.49,-0.04,2023,9,.616,,38-22-22,.598,38
Edmonton Oilers,82,50,23,,109,.665,325,260,0.73,-0.07,2023,9,.634,,45-23-14,.634,45
Los Angeles Kings,82,47,25,,104,.634,280,257,0.27,-0.02,2023,10,.555,,37-25-20,.573,37
Seattle Kraken,82,46,28,,100,.610,289,256,0.36,-0.04,2023,8,.585,,37-28-17,.555,37
Calgary Flames,82,38,27,,93,.567,260,252,0.05,-0.05,2023,17,.482,,31-27-24,.524,31
Vancouver Canucks,82,38,37,,83,.506,276,298,-0.30,-0.04,2023,7,.439,,24-37-21,.421,24
San Jose Sharks,82,22,44,,60,.366,234,321,-1.05,0.01,2023,16,.299,,16-44-22,.329,16
Anaheim Ducks,82,23,47,,58,.354,209,338,-1.54,0.03,2023,12,.280,,13-47-22,.293,13
